Nimi;aliases;Isä;attribute:CO2 (kgCO2e);attribute:CO2 (kgCO2e/kg);attribute:CO2 (kgCO2/kWh);attribute:CO2 (gCO2e/l);note;Lähde;
Polttoaine;;Matkustus;;;;;;;
Rakennus;;Koti;;;;;;;
Kirjat;;Vapaa-aika;;;;;;;
Bensiini;;Polttoaine;;;;2,392;;http://ecoscore.be/en/info/ecoscore/co2;
Diesel;;Polttoaine;;;;2,64;;http://ecoscore.be/en/info/ecoscore/co2;
Sähkö, Tampereen sähkölaitos;;;;;0,1197;;;https://www.sahkolaitos.fi/valoa-ja-virtaa/palvelut-ja-edut/sahkon-alkupera/;
Diesel;;;;;;2,6391;;https://comcar.co.uk/emissions/co2litre/;
Bensiini;;;;;;2,3035;;https://comcar.co.uk/emissions/co2litre/;
Henkselikassi;;;14;;;;Shopping bag, recycled plastic, Finland 2007;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1530-9290.2010.00326.x
Muovikassi;;;37;;;;Shopping bag, plastic, Finland 2007;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1530-9290.2010.00326.x
