"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
Pollock,Lyyraturska,,Fish,,1.6,,,,,"Pollock, median",1
Pomelo,Pomelo,,Citrus fruit,,0.51,,,,,"Grapefruit and pomelo, median",1
Pomfret,Pomfretti,,Fish,,6.63,,,,,"Pomfret, median",1
Pork,,,,,5.77,,,,,"Pork: world average, median",1
Pork,,,,,5,,,,,"Sianliha, raaka",4
Postal services,,,Services,,,,,,0.2,Postal and telecommunication services,2
"Potato Crisps, Potato Chips, Potato Snack",,,,,2.25,,,,,"Cradle-to-grave, Svenska Lantchips, Transportation to Helsinki taken into consideration, in 200 gramms packets",35
"Potato Wedges, Oven-Baked",,,,,,,,,0.7,Plant based groceries,2
"Potato, Unpeeled, Avarage, Raw",,"[""Peruna"", ""Varhaisperuna""]",,,0.2,,,,,"Peruna, vihannekset, raaka",4
"Potato, Unpeeled, Avarage, Raw",,,,,0.18,,,,,"Potatoes, median",1
Processed cheese <= 17%,,,,,10,,,,,Juusto,9
Pulses,Palkokasvit,,,,0.7,,,,,Kuiva papu,4
Pulses,Palkokasvit,,,,0.43,,,,,"Beans, median",1
Pulses and nuts,,,,,,,,,0.7,Plant based groceries,2
Pumpkin,Kurpitsa,,,,0.25,,,,,"Pumpkins, median",1
Quark,Rahka,,,,10,,,,,Juusto,9
Quinces,Kvitteni,,Malaceous fruit,,0.31,,,,,"Quinces, median",1
Quinoa,"Kvinoa, siemen",,,,1.15,,,,,"Quinoa, median",1
"Quorn, Fillet, Pieces, Mince",,,,,,,,,1.1,Animal based groceries,2
Rabbit,Kani,,,,4.7,,,,,"Rabbit, median",1
Rapeseed Oil,Rypsiöljy,,,,,,,2.09,,"Rape and mustard seed, median",1
Rapeseed Oil,Rypsiöljy,,,,262,,,,,Including iLUC,
Raspberry,Vadelma,,,,0.84,,,,,"Rasberries, median",1
Recreational services,Vapaa-ajan palvelut,,Services,,,,,,0.2,Recreational and culture services,2
Renovation,Remontointi,,Construction,,,,,,0.02,Remontointi,2
Restaurant,Ravintola,,Services,,,,,,0.49,Ravintolapalvelut,2
Rhombus,Silokampela,,Fish,,8.41,,,,,"Rhombus, median",
Rice,Riisi,,,,5,,,,,"Riisi, raaka",4
Rice,Riisi,,,,2.55,,,,,"Rice, median",1
Ropax ship 1140km Helsinki-Travemünde,Ropax-alus 1140 km Helsinki-Travemünde,,Travel,440,,,,,,Ropax-alus 1140 km Helsinki-Travemünde,8
Runner bean,Ruusupapu,,Pulses vegetables,,0.75,,,,,"Beans: french and runner, median",1
Rye,Ruis,,,,0.38,,,,,"Rye, median",1
Rye bread,"Leipä, ruis-",,,,1.3,,,,,Ruisleipä,9
Salami,"Meetvursti tai salami, kevyt rasvaa, 22 %",,,,2.88,,,,,Salami,1
Salmon fillet,,,,,3.47,,,,,"Salmon, median",1
"Salmon, Farmed",,,,,11.9,,,,,"Kirjolohi, kasvatettu",27
"Salmon, Whole",,,,,3.47,,,,,"Salmon, median",1
