"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Fish oil;Kalaöljy;;Supplies;;;;;;1,1;;;;;;;Animal based groceries;2
Fish oil;Kalaöljy;;Supplies;;;;;;1,1;;;;;;;Animal based groceries;2
Fish, Weighted Average;;"[""Fish""]";;;;;;;;;;;;;;;
Fishing equipment;Kalastustarvikkeet;"[""Jäänaskali"", ""Jigger"", ""Kuusamo Sinfonia"", ""Viehe"", ""Onkivapa"", ""Pilkkivapa"", ""Unyl Winter Line""]";Supplies;;;;;;1,31;;;;;;;Fishing products and services;2
Fishing equipment;Kalastustarvikkeet;"[""Jäänaskali"", ""Jigger"", ""Kuusamo Sinfonia"", ""Viehe"", ""Onkivapa"", ""Pilkkivapa"", ""Unyl Winter Line""]";Supplies;;;;;;1,31;;;;;;;Fishing products and services;2
Flour;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Flour;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Flowers;Kukat;;Supplies;;;;;;;;;;;;;;
Flowers;Kukat;;Supplies;;;;;;0,6;;;;;;;Garden supplies;2
Flowers;Kukat;;Supplies;;;;;;0,6;;;;;;;Garden supplies;2
French Fries, Deep-Fried;;;;;;;;;0,7;;;;;;;Plant based groceries;2
French Fries, Deep-Fried;;;;;;;;;0,7;;;;;;;Plant based groceries;2
French Fries, Frozen;;;;;;;;;0,7;;;;;;;Plant based groceries;2
French Fries, Frozen;;;;;;;;;0,7;;;;;;;Plant based groceries;2
French Fries, Oven-Baked;;"[""Kuorellinen tikkuperuna pakaste""]";;;;;;;0,7;;;;;;;Plant based groceries;2
French Fries, Oven-Baked;;"[""Kuorellinen tikkuperuna pakaste""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Fresh Pasta, Contains Egg;;"[""Fettuccine"", ""Fettuccine pasta""]";;;;;;;;;;;;;;;
Fresh Pasta, Contains Egg;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fresh Pasta, Contains Egg;;;;;;;;;1,1;;;;;;;Animal based groceries;2
Fried onions;Paahdettu sipulirouhe;;Spices;;;;;;;;;;;;;;
